UAV1_x,UAV1_y,UAV2_x,UAV2_y
-170.55444068268278,61.42092102965485,-178.9615257562033,48.509530573516834
-170.202469004516,62.08335038686666,-179.32321290463088,47.852498699783254
-169.95179858913522,62.802058223404046,-180.00478679482723,47.37318168258786
-169.50233701134582,63.410326525269966,-180.03441077377718,46.53167027025558
-169.49143732532332,64.26224032256194,-180.14063261581038,45.732713226302884
-169.29444986187303,65.01077202128292,-180.19739798757814,44.90628036553606
-169.01227379997675,65.71197672086723,-180.63138122372064,44.289412984977425
-168.798446348861,66.45115287088518,-181.3092202186994,43.80802102599449
-168.54891944315065,67.17049599057279,-181.4818215800203,43.04594149275719
-167.75937268458154,67.58982808089442,-181.77099657136458,42.34862508731066
-167.337702276232,68.21353592133804,-182.0731468392151,41.658517168812025
-167.20797536459563,68.99943459328897,-182.58503884299947,41.08493243694331
-166.71657981264713,69.58440624284428,-183.4233774812412,40.692706946439806
-166.29390337602493,70.20755517869198,-183.81104827066477,40.050110428815096
-165.92209403635158,70.85896361284459,-184.0682083305577,39.335007950340035
-165.70331510211597,71.59538893890705,-184.28358582469073,38.59669293533169
-165.531174034736,72.35772419100044,-184.90215196797118,38.082371614294125
-164.932306370269,72.88298911137879,-185.29072339984245,37.44027545358481
-164.58521912864668,73.54813204444864,-185.42507331139245,36.656945114919225
-163.787080171371,73.96269069104439,-185.95296958992233,36.09225164679801
-163.47044142194702,74.6447494531133,-186.3584627863175,35.45955646637973
-163.2405557358724,75.37500436148743,-186.53609826407705,34.70027366449724
-162.90591531891377,76.04706219714822,-186.76931671100147,33.971870289928546
-162.71764951905521,76.80043926453126,-187.24561851866537,33.3785132268818
-162.0569060577671,77.29132874223123,-187.52699111528057,32.67686215769688
-161.88737858634354,78.05511599207817,-187.98506108023045,32.07337629314235
-161.45660600158507,78.67376706785016,-188.20435724640413,31.337238318156587
-160.9346714259418,79.24177259313059,-188.68457223868432,30.74605524656333
-160.52220565877184,79.87059412311844,-188.88590579563927,29.99993804423383
-160.28953009007216,80.59929909670088,-189.21080764611057,29.32246989385786
-160.02298846794608,81.30918959615751,-189.29265393797814,28.509970877590927
-159.70063503178528,81.98807353226154,-189.96478922519265,28.025410192072293
-159.42356193717856,82.69211321367338,-190.41999949012776,27.420335605287327
-158.82568643480155,83.21792933521284,-190.66021377140618,26.695818805359746
-158.69187534365153,84.00155901854508,-191.0142421196604,26.034532042640954
-158.25927664636305,84.61919558735595,-191.5256280252991,25.460666145135768
-157.9326473248506,85.29570403159794,-191.84390717504462,24.7795187165788
-157.64553423731797,85.99416593916206,-192.3992075962434,24.230049772162545
-156.99157546237663,86.48882468705467,-192.78837717843157,23.588285917184837
